1      447     H-   
3      15      H2+                               
6      26      CH
7      59      CO
8      58      CN  
9      3       C2
11     5       O2        
12     69      NO
14     205     C2H2
15     173     HCN
16     202     C2H
21     214     C3
22     63      CS
4      350     H2O
5      28      OH
31     92      TiO
27     86      SiO
39     185     CH4
13     27      NH
19     33      SiH
216    41      FeH
32     93      VO
33     96      ZrO
34     31      MgH
36     38      CaH                             
43     354     NH3
46     192     CO2
214    39      TiH
215    38      CaH                            
217    40      CrH
71     24      LiH
10     1       H2
18     35      HS
20     538     C3H
23     61      SiC
24     212     SiC2
25     74      NS
26     72      SiN
28     88      SO
29     12      S2                             
30     115     SiS                             
40     177     CH2
41     182     CH3
57     194     Si2C
58     373     SiO2
59     353     H2S                  
67     222     CaOH
107    174     CHNO
135    309     SiF2
218    4       N2
220    124     AlCl
221    105     AlF
222    32      AlH
223    85      AlO
224    25      BeH
225    110     CaF
226    184     CH3F
227    62      CP
228    63      CS
229    181     H2CO
230    36      HCl
231    342     HNO3
232    127     KCL
233    109     KF
234    120     LICL
235    101     LIF
236    104     MGF
237    122     NACL
238    103     NAF
239    30      NAH
240    355     PH3
242    87      PO
243    116     PS
244    35      HS
245    372     SO2        
